context,p,r,f1,n_pos,total_pos,n_neg,total_neg
carrying,1.0,1.0,1.0,5,5,0,1
passengers,1.0,1.0,1.0,5,5,0,1
passenger,1.0,1.0,1.0,5,5,0,1
ride,1.0,1.0,1.0,5,5,0,1
tour,1.0,1.0,1.0,5,5,0,1
boarded,1.0,1.0,1.0,5,5,0,1
stop,1.0,1.0,1.0,5,5,0,1
traveling,1.0,1.0,1.0,5,5,0,1
accident,1.0,1.0,1.0,5,5,0,1
crashed,1.0,1.0,1.0,5,5,0,1
rides,1.0,1.0,1.0,5,5,0,1
speeding,1.0,1.0,1.0,5,5,0,1
riding,1.0,1.0,1.0,5,5,0,1
people,1.0,1.0,1.0,5,5,0,1
tours,1.0,1.0,1.0,5,5,0,1
packed,1.0,1.0,1.0,5,5,0,1
tourists,1.0,1.0,1.0,5,5,0,1
metro,1.0,1.0,1.0,5,5,0,1
route,1.0,1.0,1.0,5,5,0,1
heading,1.0,1.0,1.0,5,5,0,1
traveled,1.0,1.0,1.0,5,5,0,1
others,1.0,1.0,1.0,5,5,0,1
took,1.0,1.0,1.0,5,5,0,1
trips,1.0,1.0,1.0,5,5,0,1
travel,1.0,1.0,1.0,5,5,0,1
take,1.0,1.0,1.0,5,5,0,1
company,1.0,1.0,1.0,5,5,0,1
caught,1.0,1.0,1.0,5,5,0,1
windows,1.0,1.0,1.0,5,5,0,1
ferry,1.0,1.0,1.0,5,5,0,1
rush,1.0,1.0,1.0,5,5,0,1
crossing,1.0,1.0,1.0,5,5,0,1
his,1.0,1.0,1.0,5,5,0,1
their,1.0,1.0,1.0,5,5,0,1
out,1.0,1.0,1.0,5,5,0,1
trapped,1.0,1.0,1.0,5,5,0,1
airport,1.0,1.0,1.0,5,5,0,1
them,1.0,1.0,1.0,5,5,0,1
he,1.0,1.0,1.0,5,5,0,1
taking,1.0,1.0,1.0,5,5,0,1
got,1.0,1.0,1.0,5,5,0,1
passing,1.0,1.0,1.0,5,5,0,1
40,1.0,1.0,1.0,5,5,0,1
including,1.0,1.0,1.0,5,5,0,1
went,1.0,1.0,1.0,5,5,0,1
travelled,1.0,1.0,1.0,5,5,0,1
busy,1.0,1.0,1.0,5,5,0,1
taken,1.0,1.0,1.0,5,5,0,1
hours,1.0,1.0,1.0,5,5,0,1
himself,1.0,1.0,1.0,5,5,0,1
journey,1.0,1.0,1.0,5,5,0,1
her,1.0,1.0,1.0,5,5,0,1
traffic,1.0,1.0,1.0,5,5,0,1
thrown,1.0,1.0,1.0,5,5,0,1
transported,1.0,1.0,1.0,5,5,0,1
down,1.0,1.0,1.0,5,5,0,1
hop,1.0,1.0,1.0,5,5,0,1
tried,1.0,1.0,1.0,5,5,0,1
dragged,1.0,1.0,1.0,5,5,0,1
stranded,1.0,1.0,1.0,5,5,0,1
walking,1.0,1.0,1.0,5,5,0,1
indian,1.0,1.0,1.0,5,5,0,1
seven,1.0,1.0,1.0,5,5,0,1
yellow,1.0,1.0,1.0,5,5,0,1
shot,1.0,1.0,1.0,5,5,0,1
behind,1.0,1.0,1.0,5,5,0,1
lost,1.0,1.0,1.0,5,5,0,1
street,1.0,1.0,1.0,5,5,0,1
five,1.0,1.0,1.0,5,5,0,1
escaped,1.0,1.0,1.0,5,5,0,1
forced,1.0,1.0,1.0,5,5,0,1
arrested,1.0,1.0,1.0,5,5,0,1
plowed,1.0,1.0,1.0,5,5,0,1
red,1.0,1.0,1.0,5,5,0,1
door,1.0,1.0,1.0,5,5,0,1
opposite,1.0,1.0,1.0,5,5,0,1
avoid,1.0,1.0,1.0,5,5,0,1
31,1.0,1.0,1.0,5,5,0,1
him,1.0,1.0,1.0,5,5,0,1
saw,1.0,1.0,1.0,5,5,0,1
speed,1.0,1.0,1.0,5,5,0,1
number,1.0,1.0,1.0,5,5,0,1
most,1.0,1.0,1.0,5,5,0,1
passed,1.0,1.0,1.0,5,5,0,1
missed,1.0,1.0,1.0,5,5,0,1
approached,1.0,1.0,1.0,5,5,0,1
bike,1.0,1.0,1.0,5,5,0,1
threw,1.0,1.0,1.0,5,5,0,1
guide,1.0,1.0,1.0,5,5,0,1
canal,1.0,1.0,1.0,5,5,0,1
100,1.0,1.0,1.0,5,5,0,1
travels,1.0,1.0,1.0,5,5,0,1
over,1.0,1.0,1.0,5,5,0,1
just,1.0,1.0,1.0,5,5,0,1
all,1.0,1.0,1.0,5,5,0,1
bag,1.0,1.0,1.0,5,5,0,1
37,1.0,1.0,1.0,5,5,0,1
stepped,1.0,1.0,1.0,5,5,0,1
abandoned,1.0,1.0,1.0,5,5,0,1
employees,1.0,1.0,1.0,5,5,0,1
later,1.0,1.0,1.0,5,5,0,1
stuck,1.0,1.0,1.0,5,5,0,1
turned,1.0,1.0,1.0,5,5,0,1
kids,1.0,1.0,1.0,5,5,0,1
death,1.0,1.0,1.0,5,5,0,1
rural,1.0,1.0,1.0,5,5,0,1
began,1.0,1.0,1.0,5,5,0,1
following,1.0,1.0,1.0,5,5,0,1
person,1.0,1.0,1.0,5,5,0,1
pick,1.0,1.0,1.0,5,5,0,1
bicycle,1.0,1.0,1.0,5,5,0,1
county,1.0,1.0,1.0,5,5,0,1
involving,1.0,1.0,1.0,5,5,0,1
authorities,1.0,1.0,1.0,5,5,0,1
park,1.0,1.0,1.0,5,5,0,1
garage,1.0,1.0,1.0,5,5,0,1
hybrid,1.0,1.0,1.0,5,5,0,1
