context,p,r,f1,n_pos,total_pos,n_neg,total_neg
zebra,1.0,1.0,1.0,3,3,0,7
elephant,1.0,1.0,1.0,3,3,0,7
lion,1.0,1.0,1.0,3,3,0,7
elephants,1.0,1.0,1.0,3,3,0,7
antelope,1.0,1.0,1.0,3,3,0,7
male,1.0,1.0,1.0,3,3,0,7
female,1.0,1.0,1.0,3,3,0,7
print,1.0,1.0,1.0,3,3,0,7
stuffed,1.0,1.0,1.0,3,3,0,7
buffalo,1.0,1.0,1.0,3,3,0,7
tiger,1.0,1.0,1.0,3,3,0,7
prints,1.0,1.0,1.0,3,3,0,7
mascot,1.0,1.0,1.0,3,3,0,7
leopard,1.0,1.0,1.0,3,3,0,7
hotel,1.0,1.0,1.0,3,3,0,7
legs,1.0,1.0,1.0,3,3,0,7
camel,1.0,1.0,1.0,3,3,0,7
africa,1.0,1.0,1.0,3,3,0,7
bear,1.0,1.0,1.0,3,3,0,7
extinct,1.0,1.0,1.0,3,3,0,7
rare,1.0,1.0,1.0,3,3,0,7
sub,1.0,1.0,1.0,3,3,0,7
cub,1.0,1.0,1.0,3,3,0,7
lone,1.0,1.0,1.0,3,3,0,7
which,1.0,1.0,1.0,3,3,0,7
wildlife,1.0,1.0,1.0,3,3,0,7
horns,1.0,1.0,1.0,3,3,0,7
among,1.0,1.0,1.0,3,3,0,7
mate,1.0,1.0,1.0,3,3,0,7
looks,1.0,1.0,1.0,3,3,0,7
actually,1.0,1.0,1.0,3,3,0,7
giving,1.0,1.0,1.0,3,3,0,7
its,1.0,1.0,1.0,3,3,0,7
18,1.0,1.0,1.0,3,3,0,7
starred,1.0,1.0,1.0,3,3,0,7
safari,1.0,1.0,1.0,3,3,0,7
yes,1.0,1.0,1.0,3,3,0,7
watched,1.0,1.0,1.0,3,3,0,7
trademark,1.0,1.0,1.0,3,3,0,7
bar,1.0,1.0,1.0,3,3,0,7
kenya,1.0,1.0,1.0,3,3,0,7
shoulders,1.0,1.0,1.0,3,3,0,7
built,1.0,1.0,1.0,3,3,0,7
twins,1.0,1.0,1.0,3,3,0,7
african,1.0,1.0,1.0,3,3,0,7
area,1.0,1.0,1.0,3,3,0,7
glimpse,1.0,1.0,1.0,3,3,0,7
studied,1.0,1.0,1.0,3,3,0,7
half,1.0,1.0,1.0,3,3,0,7
40,1.0,1.0,1.0,3,3,0,7
together,1.0,1.0,1.0,3,3,0,7
belgian,1.0,1.0,1.0,3,3,0,7
kenyan,1.0,1.0,1.0,3,3,0,7
job,1.0,1.0,1.0,3,3,0,7
noise,1.0,1.0,1.0,3,3,0,7
tanzania,1.0,1.0,1.0,3,3,0,7
observe,1.0,1.0,1.0,3,3,0,7
hungry,1.0,1.0,1.0,3,3,0,7
proceeds,1.0,1.0,1.0,3,3,0,7
edition,1.0,1.0,1.0,3,3,0,7
frequent,1.0,1.0,1.0,3,3,0,7
sticking,1.0,1.0,1.0,3,3,0,7
start,1.0,1.0,1.0,3,3,0,7
clubs,1.0,1.0,1.0,3,3,0,7
constructed,1.0,1.0,1.0,3,3,0,7
list,1.0,1.0,1.0,3,3,0,7
magic,1.0,1.0,1.0,3,3,0,7
disney,1.0,1.0,1.0,3,3,0,7
speed,1.0,1.0,1.0,3,3,0,7
earned,1.0,1.0,1.0,3,3,0,7
