,context,n_concepts,mean_tfidf,mean_diff,evidence
0,salmon,25,0.09,0.09,i
1,fishing,24,0.06,0.06,r
2,fish,24,0.08,0.08,i
3,catch,23,0.04,0.03,r
4,fishermen,22,0.03,0.03,r
5,waters,21,0.02,0.02,r
6,caught,21,0.02,0.02,r
7,tuna,21,0.14,0.14,i
8,catches,21,0.03,0.03,r
9,fishery,20,0.04,0.04,r
10,crab,20,0.04,0.04,i
11,pacific,20,0.02,0.01,r
12,fillets,20,0.06,0.06,r
13,catfish,20,0.06,0.06,i
14,trout,20,0.05,0.05,i
15,shrimp,19,0.09,0.09,i
16,catching,19,0.02,0.02,r
17,atlantic,19,0.03,0.03,r
18,seafood,19,0.02,0.02,r
19,baked,18,0.01,0.01,u
20,swimming,13,0.01,0.01,p
21,swim,12,0.02,0.02,p
22,swam,1,0.01,0.01,p
