,prop-specific,n_pairs
pos,0.0,1707.0
neg,,1221.0
all,0.004844323760153868,995.0
some,-0.016103507980072207,712.0
few,,1221.0
evidence,0.002535251742584621,1516.0
no_evidence_pos,-0.039757530844277356,229.0
no_evidence_neg,-0.09527298904530646,1183.0
implied_category,-0.00374719051988448,14.0
typical_of_concept,0.02013783245913492,3.0
affording_activity,0.002535251742584621,4.0
afforded_usual,0.05297779032882566,2.0
afforded_unusual,-0.1175367802479349,19.0
variability_limited,0.002535251742584621,104.0
variability_open,-0.039757530844277356,76.0
variability_open_scalar,-0.04368701312341927,95.0
rare,,18.0
unusual,,75.0
impossible,,265.0
creative,,21.0
pos-reference,0.790175969953277,1707.0
