,context,n_concepts,mean_tfidf,mean_diff,evidence
0,add,91,0.03,0.03,-
1,recipe,89,0.03,0.03,-
2,chicken,87,0.04,0.04,-
3,potato,86,0.03,0.02,-
4,egg,86,0.02,0.02,-
5,taste,84,0.01,0.01,-
6,rice,84,0.02,0.02,-
7,hot,84,0.01,0.01,-
8,bowl,83,0.02,0.02,-
9,cheese,82,0.06,0.06,-
10,cook,82,0.02,0.02,-
11,mix,81,0.02,0.02,-
12,olive,81,0.03,0.03,-
13,warm,80,0.01,0.01,-
14,sweet,80,0.02,0.02,-
15,serve,80,0.01,0.01,-
16,fresh,79,0.02,0.02,-
17,serving,79,0.01,0.01,-
18,bean,79,0.02,0.02,-
19,salt,79,0.02,0.02,-
20,cook,82,0.02,0.02,-
21,cooking,73,0.02,0.02,-
22,cooked,65,0.04,0.04,-
23,cooks,17,0.02,0.02,-
