relation,p,n_pairs
pos,0.007689870827978955,1766
neg,0.0016207581503604027,1186
all,0.008820138239022366,1021
some,0.006889049947326887,745
few,0.0016207581503604027,1186
evidence,0.00811139796227147,1054
no_evidence_pos,0.006969669263392602,342
no_evidence_neg,0.001568422458478528,1082
implied_category,0.004815708863662025,106
typical_of_concept,0.015236388115867866,94
typical_of_property,0.008367521372412867,218
affording_activity,0.01066370861402974,131
afforded_usual,0.0021061709512456513,54
afforded_unusual,0.001676306242331086,42
variability_limited,0.009981436746355498,474
variability_open,0.009043284573700686,159
variability_limited_scalar,0.0,1
variability_open_scalar,0.0029986647265181302,164
rare,0.0030778668808876244,110
unusual,0.001519086396325458,301
impossible,0.0009158775957271801,464
creative,0.00374027116759155,69
