relation,non-specific,n_pairs
pos,0.07979837457616315,1766
neg,0.021051536984769345,1186
all,0.0926704329645651,1021
some,0.06448263337971755,745
few,0.021051536984769345,1186
evidence,0.08046882709076184,1054
no_evidence_pos,0.07587206555114254,342
no_evidence_neg,0.019915119966489564,1082
implied_category,0.07741302825666452,106
typical_of_concept,0.06092807097618118,94
typical_of_property,0.09352404328178547,218
affording_activity,0.10096405681657597,131
afforded_usual,0.06800835976107297,54
afforded_unusual,0.07293720340989403,42
variability_limited,0.060478455085053826,474
variability_open,0.07160075131714833,159
variability_limited_scalar,0.4636836226094092,1
variability_open_scalar,0.06472282212363471,164
rare,0.03384442711104222,110
unusual,0.027439018634236114,301
impossible,0.016000993766224523,464
creative,0.015071425300606537,69
