relation,non-specific,n_pairs
pos,0.0064660263730441855,1766
neg,0.001746148013847098,1186
all,0.007584585994312964,1021
some,0.005259297490471459,745
few,0.001746148013847098,1186
evidence,0.006903365869510913,1054
no_evidence_pos,0.005668910489291584,342
no_evidence_neg,0.0016642498212994417,1082
implied_category,0.006986104498336702,106
typical_of_concept,0.00551511391250663,94
typical_of_property,0.007685156499392986,218
affording_activity,0.008896087178913166,131
afforded_usual,0.008125805124070632,54
afforded_unusual,0.0038178161011121698,42
variability_limited,0.0054933928002395055,474
variability_open,0.005103657639471921,159
variability_limited_scalar,0.009896344340639334,1
variability_open_scalar,0.005453967137182391,164
rare,0.0024937066129476176,110
unusual,0.001969658073829231,301
impossible,0.0013370661499947233,464
creative,0.0019717369850789797,69
