relation,l,n_pairs
pos,0.0028867659324495146,1598
neg,0.0005385525728506559,1077
all,0.003658746511656666,886
some,0.001762101646661598,712
few,0.0005385525728506559,1077
evidence,0.002811811388904167,956
no_evidence_pos,0.0023765117919808893,312
no_evidence_neg,0.0005213244189443097,982
implied_category,0.002540779458026141,85
typical_of_concept,0.003758727848333319,91
typical_of_property,0.004168518326422238,184
affording_activity,0.003073430470885621,120
afforded_usual,0.0016100353285251412,31
afforded_unusual,0.002039893566942262,41
variability_limited,0.0015962395041467289,443
variability_open,0.0023134677542861067,156
variability_open_scalar,0.0019265046086423385,165
rare,0.0009920944697370685,98
unusual,0.000717944111503535,278
impossible,0.0003892945742176805,409
creative,0.0011638909829556508,68
