context,p,r,f1,n_pos,total_pos,n_neg,total_neg
aroma,1.0,1.0,1.0,3,3,0,2
sweet,1.0,1.0,1.0,3,3,0,2
color,1.0,1.0,1.0,3,3,0,2
chocolate,1.0,1.0,1.0,3,3,0,2
adds,1.0,1.0,1.0,3,3,0,2
add,1.0,1.0,1.0,3,3,0,2
mild,1.0,1.0,1.0,3,3,0,2
delicate,1.0,1.0,1.0,3,3,0,2
flavor,1.0,1.0,1.0,3,3,0,2
vanilla,1.0,1.0,1.0,3,3,0,2
taste,1.0,1.0,1.0,3,3,0,2
lemon,1.0,1.0,1.0,3,3,0,2
fat,1.0,1.0,1.0,3,3,0,2
butter,1.0,1.0,1.0,3,3,0,2
fruit,1.0,1.0,1.0,3,3,0,2
and,1.0,1.0,1.0,3,3,0,2
ingredients,1.0,1.0,1.0,3,3,0,2
fresh,1.0,1.0,1.0,3,3,0,2
rich,1.0,1.0,1.0,3,3,0,2
citrus,1.0,1.0,1.0,3,3,0,2
fruity,1.0,1.0,1.0,3,3,0,2
wine,1.0,1.0,1.0,3,3,0,2
spicy,1.0,1.0,1.0,3,3,0,2
sweetness,1.0,1.0,1.0,3,3,0,2
extract,1.0,1.0,1.0,3,3,0,2
unique,1.0,1.0,1.0,3,3,0,2
tomato,1.0,1.0,1.0,3,3,0,2
layer,1.0,1.0,1.0,3,3,0,2
cooked,1.0,1.0,1.0,3,3,0,2
olive,1.0,1.0,1.0,3,3,0,2
with,1.0,1.0,1.0,3,3,0,2
enhance,1.0,1.0,1.0,3,3,0,2
hint,1.0,1.0,1.0,3,3,0,2
gives,1.0,1.0,1.0,3,3,0,2
spice,1.0,1.0,1.0,3,3,0,2
tender,1.0,1.0,1.0,3,3,0,2
crunch,1.0,1.0,1.0,3,3,0,2
lime,1.0,1.0,1.0,3,3,0,2
sour,1.0,1.0,1.0,3,3,0,2
tomatoes,1.0,1.0,1.0,3,3,0,2
crisp,1.0,1.0,1.0,3,3,0,2
delicious,1.0,1.0,1.0,3,3,0,2
roasted,1.0,1.0,1.0,3,3,0,2
pepper,1.0,1.0,1.0,3,3,0,2
much,1.0,1.0,1.0,3,3,0,2
wonderful,1.0,1.0,1.0,3,3,0,2
pure,1.0,1.0,1.0,3,3,0,2
slightly,1.0,1.0,1.0,3,3,0,2
juicy,1.0,1.0,1.0,3,3,0,2
bitter,1.0,1.0,1.0,3,3,0,2
cherry,1.0,1.0,1.0,3,3,0,2
beer,1.0,1.0,1.0,3,3,0,2
cake,1.0,1.0,1.0,3,3,0,2
creamy,1.0,1.0,1.0,3,3,0,2
acidity,1.0,1.0,1.0,3,3,0,2
